timestamp,trade,price
2024-12-06 23:45:11.043000+05:30,Short Trade,102067.86
2024-12-06 23:45:39.043000+05:30,Short Trade,102080.5
2024-12-06 23:45:41.057000+05:30,Short Trade,102084.74
2024-12-06 23:45:42.166000+05:30,Short Trade,102091.95
2024-12-06 23:45:55.067000+05:30,Short Trade,102097.94
2024-12-06 23:45:58.205000+05:30,Short Trade,102114.36
2024-12-06 23:46:00.154000+05:30,Short Trade,102181.34
2024-12-06 23:46:02.587000+05:30,Short Trade,102125.15
2024-12-06 23:46:15.378000+05:30,Short Trade,102127.81
2024-12-06 23:46:16.456000+05:30,Short Trade,102145.47
2024-12-06 23:46:35.297000+05:30,Short Trade,102059.82
2024-12-06 23:47:34.617000+05:30,Short Trade,102116.97
2024-12-06 23:47:36.124000+05:30,Short Trade,102154.01
2024-12-06 23:47:37.133000+05:30,Short Trade,102159.5
2024-12-06 23:47:38.223000+05:30,Short Trade,102202.22
2024-12-06 23:47:40.147000+05:30,Short Trade,102170.57
2024-12-06 23:47:41.199000+05:30,Short Trade,102184.5
2024-12-06 23:47:42.204000+05:30,Short Trade,102197.89
2024-12-06 23:53:06.232000+05:30,Short Trade,102047.93
2024-12-06 23:56:28.228000+05:30,Short Trade,102161.7
2024-12-06 23:56:46.266000+05:30,Short Trade,102172.88
2024-12-06 23:57:12.397000+05:30,Short Trade,102185.86
2024-12-06 23:57:26.833000+05:30,Short Trade,102205.19
2024-12-06 23:57:28.304000+05:30,Short Trade,102205.2
2024-12-06 23:57:37.089000+05:30,Short Trade,102277.16
2024-12-06 23:57:38.389000+05:30,Short Trade,102214.75
2024-12-06 23:57:41.042000+05:30,Short Trade,102220.46
2024-12-06 23:57:42.612000+05:30,Short Trade,102228.94
2024-12-06 23:57:43.702000+05:30,Short Trade,102237.27
2024-12-07 00:04:34.460000+05:30,Long Trade,100988.38
2024-12-07 00:05:08.534000+05:30,Long Trade,100959.71
2024-12-07 00:05:39.206000+05:30,Long Trade,100950.54
2024-12-07 00:05:45.318000+05:30,Long Trade,100898.04
2024-12-07 00:06:00.083000+05:30,Long Trade,100884.86
2024-12-07 00:06:02.178000+05:30,Long Trade,100877.41
2024-12-07 00:06:04.760000+05:30,Long Trade,100858.13
2024-12-07 00:06:08.115000+05:30,Long Trade,100848.02
2024-12-07 00:06:11.350000+05:30,Long Trade,100823.69
2024-12-07 00:06:16.393000+05:30,Long Trade,100807.53
2024-12-07 00:07:40.269000+05:30,Short Trade,101696.84
2024-12-07 00:07:45.350000+05:30,Short Trade,101676.73
2024-12-07 00:08:38.498000+05:30,Long Trade,100782.79
2024-12-07 00:08:46.424000+05:30,Long Trade,100769.31
2024-12-07 00:09:30.330000+05:30,Long Trade,100755.48
2024-12-07 00:09:31.335000+05:30,Long Trade,100721.6
2024-12-07 00:12:38.086000+05:30,Long Trade,100683.71
2024-12-07 00:12:39.302000+05:30,Long Trade,100653.84
2024-12-07 00:12:44.276000+05:30,Long Trade,100643.2
2024-12-07 00:12:45.476000+05:30,Long Trade,100639.41
2024-12-07 00:12:49.093000+05:30,Long Trade,100624.45
2024-12-07 00:12:50.194000+05:30,Long Trade,100615.7
2024-12-07 00:12:51.252000+05:30,Long Trade,100609.25
2024-12-07 00:13:52.219000+05:30,Long Trade,100597.97
2024-12-07 00:13:53.392000+05:30,Long Trade,100583.59
2024-12-07 00:13:58.321000+05:30,Long Trade,100566.59
2024-12-07 00:14:02.458000+05:30,Long Trade,100564.44
2024-12-07 00:14:12.198000+05:30,Long Trade,100548.76
2024-12-07 00:14:13.383000+05:30,Long Trade,100542.84
2024-12-07 00:14:14.386000+05:30,Long Trade,100523.59
2024-12-07 00:14:23.119000+05:30,Long Trade,100509.87
2024-12-07 00:14:24.407000+05:30,Long Trade,100487.58
2024-12-07 00:14:26.586000+05:30,Long Trade,100494
2024-12-07 00:17:22.048000+05:30,Short Trade,101556.59
2024-12-07 00:17:29.215000+05:30,Short Trade,101568.22
2024-12-07 00:18:31.177000+05:30,Short Trade,101602.81
2024-12-07 00:19:31.127000+05:30,Short Trade,101675.08
2024-12-07 00:22:23.554000+05:30,Short Trade,101675.34
2024-12-07 00:23:29.447000+05:30,Short Trade,101722.59
2024-12-07 00:23:37.472000+05:30,Short Trade,101732.26
2024-12-07 00:23:38.508000+05:30,Short Trade,101752.5
2024-12-07 00:23:56.065000+05:30,Short Trade,101768.14
2024-12-07 00:24:05.194000+05:30,Short Trade,101772.2
2024-12-07 00:24:14.671000+05:30,Short Trade,101786.31
2024-12-07 00:24:19.029000+05:30,Short Trade,101804.24
2024-12-07 00:24:29.168000+05:30,Short Trade,101840.53
2024-12-07 00:24:34.366000+05:30,Short Trade,101874.83
2024-12-07 00:24:44.637000+05:30,Short Trade,101914.92
2024-12-07 00:27:19.340000+05:30,Short Trade,101982.57
2024-12-07 00:27:46.574000+05:30,Short Trade,101912.44
2024-12-07 00:27:47.582000+05:30,Short Trade,101947.85
2024-12-07 00:28:02.044000+05:30,Short Trade,101962.64
2024-12-07 00:28:52.277000+05:30,Short Trade,101964.53
2024-12-07 00:29:16.205000+05:30,Short Trade,101968.51
2024-12-07 00:33:05.199000+05:30,Short Trade,101913.94
2024-12-07 00:37:20.384000+05:30,Long Trade,101058.88
2024-12-07 00:37:31.626000+05:30,Short Trade,101762.73
2024-12-07 00:42:51.408000+05:30,Short Trade,101866.38
2024-12-07 00:44:21.092000+05:30,Short Trade,101952.13
2024-12-07 00:44:48.237000+05:30,Short Trade,101925.92
2024-12-07 00:47:13.247000+05:30,Long Trade,101069.52
2024-12-07 00:47:20.756000+05:30,Short Trade,101882.39
2024-12-07 00:47:59.254000+05:30,Short Trade,101788.86
2024-12-07 00:51:04.630000+05:30,Long Trade,101055.82
2024-12-07 00:53:49.745000+05:30,Short Trade,101876.95
2024-12-07 00:54:05.194000+05:30,Short Trade,101910.27
2024-12-07 00:54:07.136000+05:30,Short Trade,101891.41
2024-12-07 00:54:57.363000+05:30,Short Trade,101932.62
2024-12-07 00:54:59.652000+05:30,Short Trade,101931.58
2024-12-07 00:55:29.566000+05:30,Short Trade,101989.8
2024-12-07 00:55:30.600000+05:30,Short Trade,101993.97
2024-12-07 00:55:32.481000+05:30,Short Trade,101998.83
2024-12-07 00:55:52.267000+05:30,Short Trade,101981.79
2024-12-07 00:58:57.265000+05:30,Short Trade,101909.5
2024-12-07 01:01:33.066000+05:30,Short Trade,101762.43
2024-12-07 01:01:45.708000+05:30,Short Trade,101799.94
2024-12-07 01:02:26.357000+05:30,Short Trade,101827.55
2024-12-07 01:03:37.685000+05:30,Short Trade,101857.9
2024-12-07 01:08:33.297000+05:30,Short Trade,102010.08
2024-12-07 01:09:07.553000+05:30,Short Trade,102026.54
2024-12-07 01:09:52.309000+05:30,Short Trade,102031.9
2024-12-07 01:09:59.250000+05:30,Short Trade,102041.08
2024-12-07 01:10:03.914000+05:30,Short Trade,102056.04
2024-12-07 01:10:05.650000+05:30,Short Trade,102061.55
2024-12-07 01:10:07.475000+05:30,Short Trade,102072.82
2024-12-07 01:11:26.075000+05:30,Short Trade,102090.74
2024-12-07 01:11:43.079000+05:30,Short Trade,102102.46
2024-12-07 01:11:45.437000+05:30,Short Trade,102108.07
2024-12-07 01:13:39.347000+05:30,Short Trade,102110.02
2024-12-07 01:13:41.285000+05:30,Short Trade,102115.13
2024-12-07 01:13:47.576000+05:30,Short Trade,102118.12
2024-12-07 01:13:48.672000+05:30,Short Trade,102132.74
2024-12-07 01:13:53.144000+05:30,Short Trade,102140.72
2024-12-07 01:13:54.226000+05:30,Short Trade,102150.62
2024-12-07 01:13:55.622000+05:30,Short Trade,102166.24
2024-12-07 01:14:39.076000+05:30,Short Trade,102178.64
2024-12-07 01:14:41.035000+05:30,Short Trade,102189.48
2024-12-07 01:14:42.325000+05:30,Short Trade,102198.28
2024-12-07 01:21:07.547000+05:30,Short Trade,102145.75
2024-12-07 01:21:25.526000+05:30,Short Trade,102172.99
2024-12-07 01:21:40.625000+05:30,Short Trade,102176.79
2024-12-07 01:22:25.081000+05:30,Short Trade,102206.69
2024-12-07 01:22:27.142000+05:30,Short Trade,102221.6
2024-12-07 01:22:29.671000+05:30,Short Trade,102227.18
2024-12-07 01:22:36.077000+05:30,Short Trade,102235.53
2024-12-07 01:22:47.230000+05:30,Short Trade,102235.85
2024-12-07 01:22:49.543000+05:30,Short Trade,102236.81
2024-12-07 01:22:53.201000+05:30,Short Trade,102238.38
2024-12-07 01:23:11.586000+05:30,Short Trade,102235.21
2024-12-07 01:23:12.591000+05:30,Short Trade,102242.82
2024-12-07 01:23:14.120000+05:30,Short Trade,102252.92
2024-12-07 01:23:15.162000+05:30,Short Trade,102267.9
2024-12-07 01:23:31.055000+05:30,Short Trade,102273.69
2024-12-07 01:23:32.154000+05:30,Short Trade,102276.09
2024-12-07 01:23:33.232000+05:30,Short Trade,102282.39
2024-12-07 01:23:34.332000+05:30,Short Trade,102285.94
2024-12-07 01:23:35.425000+05:30,Short Trade,102289.1
2024-12-07 01:23:36.478000+05:30,Short Trade,102289.89
2024-12-07 01:24:07.558000+05:30,Short Trade,102277.68
2024-12-07 01:29:12.323000+05:30,Long Trade,101096.65
2024-12-07 01:35:24.603000+05:30,Long Trade,101035.83
2024-12-07 01:36:13.344000+05:30,Long Trade,100990.45
2024-12-07 01:36:24.709000+05:30,Long Trade,100968.21
2024-12-07 01:39:15.682000+05:30,Short Trade,101973.83
2024-12-07 01:39:39.400000+05:30,Short Trade,101993.75
2024-12-07 01:40:35.235000+05:30,Short Trade,102096.78
2024-12-07 01:40:44.062000+05:30,Short Trade,102072.17
2024-12-07 01:41:06.572000+05:30,Short Trade,102104.23
2024-12-07 01:41:07.669000+05:30,Short Trade,102103.97
2024-12-07 01:41:11.120000+05:30,Short Trade,102106.43
2024-12-07 01:41:30.514000+05:30,Short Trade,102094.03
2024-12-07 01:42:12.083000+05:30,Short Trade,102101.83
2024-12-07 01:43:40.627000+05:30,Short Trade,102126.99
2024-12-07 01:44:47.390000+05:30,Short Trade,102154.73
2024-12-07 01:44:51.314000+05:30,Short Trade,102153.77
2024-12-07 01:44:56.352000+05:30,Short Trade,102156.94
2024-12-07 01:47:00.344000+05:30,Long Trade,101234.65
2024-12-07 01:47:38.087000+05:30,Short Trade,102110.58
2024-12-07 01:47:39.138000+05:30,Short Trade,102115.92
2024-12-07 01:48:07.594000+05:30,Short Trade,102158.49
2024-12-07 01:49:21.024000+05:30,Short Trade,102190.42
2024-12-07 01:49:49.048000+05:30,Short Trade,102194.01
2024-12-07 01:50:04.221000+05:30,Short Trade,102167.59
2024-12-07 01:50:07.540000+05:30,Short Trade,102171.08
2024-12-07 01:50:21.743000+05:30,Short Trade,102169.89
2024-12-07 01:51:32.468000+05:30,Short Trade,102189.72
2024-12-07 01:51:37.112000+05:30,Short Trade,102186.3
2024-12-07 01:51:39.562000+05:30,Short Trade,102180.57
2024-12-07 01:53:25.325000+05:30,Short Trade,102177.17
2024-12-07 01:53:39.217000+05:30,Short Trade,102168.96
2024-12-07 01:54:05.491000+05:30,Short Trade,102184.35
2024-12-07 01:54:17.366000+05:30,Short Trade,102200.59
2024-12-07 01:54:32.061000+05:30,Short Trade,102216.68
2024-12-07 01:55:03.275000+05:30,Short Trade,102235.87
2024-12-07 01:55:26.140000+05:30,Short Trade,102251.2
2024-12-07 01:55:33.073000+05:30,Short Trade,102260.54
2024-12-07 01:55:45.697000+05:30,Short Trade,102277.17
2024-12-07 01:56:50.221000+05:30,Short Trade,102297.88
2024-12-07 01:56:52.065000+05:30,Short Trade,102300.3
2024-12-07 01:56:54.149000+05:30,Short Trade,102301.13
2024-12-07 20:39:05.459000+05:30,Short Trade,100127.08
2024-12-07 20:40:12.770000+05:30,Short Trade,100128.83
2024-12-07 20:55:52.639000+05:30,Short Trade,99931.19
2024-12-07 20:57:13.273000+05:30,Short Trade,99974.99
2024-12-07 20:59:57.159000+05:30,Short Trade,99950.09
2024-12-07 21:00:48.801000+05:30,Short Trade,99939.93
2024-12-07 21:12:07.410000+05:30,Short Trade,100167.76
2024-12-07 21:12:09.158000+05:30,Short Trade,100179.65
2024-12-07 21:12:19.304000+05:30,Short Trade,100182.82
2024-12-07 21:12:22.343000+05:30,Short Trade,100195.46
2024-12-07 21:12:26.659000+05:30,Short Trade,100218.46
2024-12-07 21:12:29.732000+05:30,Short Trade,100243.54
2024-12-07 21:12:31.055000+05:30,Short Trade,100254.46
2024-12-07 21:12:34.426000+05:30,Short Trade,100256.34
2024-12-07 21:14:05.499000+05:30,Short Trade,100150.42
2024-12-07 21:23:11.712000+05:30,Short Trade,100087.6
2024-12-07 21:25:03.648000+05:30,Short Trade,100086.36
2024-12-07 21:25:12.208000+05:30,Short Trade,100087.62
2024-12-07 21:25:15.062000+05:30,Short Trade,100109.63
2024-12-07 21:25:40.593000+05:30,Short Trade,100149.8
2024-12-07 21:25:49.261000+05:30,Long Trade,99323.61
2024-12-07 21:26:34.188000+05:30,Short Trade,100117.18
2024-12-07 21:28:22.372000+05:30,Short Trade,100202.41
2024-12-07 21:29:38.149000+05:30,Short Trade,100260.34
2024-12-07 21:30:44.389000+05:30,Short Trade,100257
2024-12-07 21:30:46.500000+05:30,Short Trade,100258.58
2024-12-07 21:31:45.763000+05:30,Long Trade,99398.15
2024-12-07 23:15:53.130000+05:30,Short Trade,100000.91
2024-12-07 23:15:55.050000+05:30,Short Trade,99966.02
2024-12-07 23:16:05.433000+05:30,Short Trade,99906.22
2024-12-07 23:16:09.340000+05:30,Long Trade,99390.48
2024-12-07 23:16:11.695000+05:30,Short Trade,99926.95
2024-12-07 23:16:12.879000+05:30,Short Trade,99989.93
2024-12-07 23:16:14.086000+05:30,Short Trade,99924.61
2024-12-07 23:16:20.233000+05:30,Short Trade,100010.34
2024-12-07 23:18:41.289000+05:30,Short Trade,100079.58
2024-12-07 23:20:00.468000+05:30,Long Trade,99297
2024-12-07 23:20:31.610000+05:30,Long Trade,99341.4
2024-12-07 23:20:40.438000+05:30,Short Trade,100131.55
2024-12-07 23:20:49.105000+05:30,Short Trade,100130.6
2024-12-07 23:21:00.421000+05:30,Short Trade,100137.87
2024-12-07 23:21:07.586000+05:30,Short Trade,100084.43
2024-12-07 23:22:31.604000+05:30,Long Trade,99342.52
