Datetime,Open Interest
2024-12-14 01:09:44,92711.732
2024-12-14 01:09:56,92719.096
2024-12-14 01:10:06,92719.607
2024-12-14 01:10:13,92713.186
2024-12-14 01:10:26,92706.46
2024-12-14 01:10:40,92719.622
2024-12-14 01:11:49,92729.728
2024-12-14 01:12:01,92729.59
2024-12-14 01:12:13,92730.828
2024-12-14 01:12:21,92730.486
2024-12-14 01:12:35,92728.359
2024-12-14 01:12:41,92724.489
2024-12-14 01:12:54,92726.657
2024-12-14 01:13:01,92726.117
2024-12-14 01:13:18,92732.273
2024-12-14 01:13:28,92732.892
2024-12-14 01:13:40,92732.991
2024-12-14 01:13:48,92732.735
2024-12-14 01:14:00,92732.664
2024-12-14 01:14:08,92732.059
2024-12-14 01:14:20,92732.101
2024-12-14 01:14:32,92728.564
2024-12-14 01:14:45,92737.148
2024-12-14 01:14:52,92736.705
2024-12-14 01:15:05,92734.368
2024-12-14 01:15:13,92734.087
2024-12-14 01:15:27,92733.238
2024-12-14 01:15:34,92733.024
2024-12-14 01:15:50,92727.03
2024-12-14 01:15:57,92730.072
2024-12-14 01:16:09,92735.792
2024-12-14 01:16:17,92734.843
2024-12-14 01:16:33,92727.347
2024-12-14 01:16:41,92727.714
2024-12-14 01:16:52,92728.461
2024-12-14 01:17:04,92726.001
2024-12-14 01:17:13,92718.919
2024-12-14 01:17:26,92716.357
2024-12-14 01:17:35,92714.493
2024-12-14 01:17:46,92715.805
2024-12-14 01:17:57,92710.624
2024-12-14 01:18:06,92710.813
2024-12-14 01:18:18,92710.314
2024-12-14 01:18:30,92708.57
2024-12-14 01:18:41,92708.489
2024-12-14 01:18:50,92715.405
2024-12-14 01:19:01,92714.462
2024-12-14 01:19:10,92714.014
2024-12-14 01:19:22,92728.629
2024-12-14 01:19:32,92729.382
2024-12-14 01:19:47,92722.885
2024-12-14 01:19:56,92724.873
2024-12-14 01:20:07,92724.523
2024-12-14 01:20:15,92745.063
2024-12-14 01:20:30,92747.529
2024-12-14 01:20:39,92747.55
2024-12-14 01:20:46,92747.539
2024-12-14 01:20:59,92743.698
2024-12-14 01:21:10,92745.034
2024-12-14 01:21:23,92741.415
2024-12-14 01:21:31,92743.118
2024-12-14 01:21:43,92741.191
2024-12-14 01:21:54,92740.814
2024-12-14 01:22:03,92746.097
2024-12-14 01:22:15,92774.793
2024-12-14 01:22:23,92778.114
2024-12-14 01:22:37,92782.769
2024-12-14 01:22:45,92782.338
2024-12-14 01:22:57,92777.52
2024-12-14 01:23:08,92775.003
2024-12-14 01:23:20,92770.189
2024-12-14 01:23:28,92773.638
2024-12-14 01:23:40,92768.843
2024-12-14 01:23:52,92769.778
2024-12-14 01:24:01,92740.239
2024-12-14 01:24:10,92739.125
2024-12-14 01:24:22,92747.199
2024-12-14 01:24:34,92741.656
2024-12-14 01:24:42,92738.375
2024-12-14 01:24:54,92739.847
2024-12-14 01:25:02,92739.187
2024-12-14 01:25:17,92742.65
2024-12-14 01:25:25,92765.799
2024-12-14 01:25:39,92737.005
2024-12-14 01:25:48,92736.2
2024-12-14 01:25:59,92731.427
2024-12-14 01:26:11,92738.937
2024-12-14 01:26:19,92739.965
2024-12-14 01:26:31,92739.972
2024-12-14 01:26:43,92743.625
2024-12-14 01:26:50,92747.547
2024-12-14 01:27:03,92747.947
2024-12-14 01:27:14,92745.536
2024-12-14 01:27:23,92746.386
2024-12-14 01:27:37,92755.643
2024-12-14 01:27:49,92755.703
2024-12-14 01:27:55,92799.788
2024-12-14 01:28:07,92799.662
2024-12-14 01:28:19,92794.193
2024-12-14 01:28:28,92795.724
2024-12-14 01:28:40,92795.535
2024-12-14 01:28:51,92797.711
2024-12-14 01:29:03,92801.16
2024-12-14 01:29:10,92799.971
2024-12-14 01:29:22,92798.303
2024-12-14 01:29:31,92800.577
2024-12-14 01:29:43,92800.347
2024-12-14 01:29:56,92800.329
2024-12-14 01:30:05,92800.749
2024-12-14 01:30:17,92801.683
2024-12-14 01:30:23,92801.812
2024-12-14 01:30:37,92804.482
2024-12-14 01:30:48,92804.504
2024-12-14 01:30:56,92804.511
2024-12-14 01:31:08,92808.379
2024-12-14 01:31:19,92808.266
2024-12-14 01:31:31,92814.657
2024-12-14 01:31:39,92815.906
2024-12-14 01:31:52,92820.472
2024-12-14 01:32:00,92820.003
2024-12-14 01:32:12,92828.943
2024-12-14 01:32:23,92833.793
2024-12-14 01:32:32,92833.976
2024-12-14 01:32:44,92830.927
2024-12-14 01:32:55,92830.777
2024-12-14 01:33:04,92835.515
2024-12-14 01:33:14,92841.782
2024-12-14 01:33:26,92841.329
2024-12-14 01:33:36,92845.242
2024-12-14 01:33:49,92857.444
2024-12-14 01:33:56,92863.588
2024-12-14 01:34:08,92872.067
2024-12-14 01:34:21,92874.644
2024-12-14 01:34:28,92873.878
2024-12-14 01:34:40,92876.361
2024-12-14 01:34:52,92880.045
2024-12-14 01:35:03,92886.726
2024-12-14 01:35:11,92886.089
2024-12-14 01:35:24,92886.574
2024-12-14 01:35:32,92885.793
2024-12-14 01:35:43,92889.7
2024-12-14 01:35:56,92905.038
2024-12-14 01:36:08,92925.561
2024-12-14 01:36:16,92922.423
2024-12-14 01:36:28,92925.175
2024-12-14 01:36:40,92921.784
2024-12-14 01:36:48,92922.966
2024-12-14 01:37:00,92937.302
2024-12-14 01:37:12,92934.575
2024-12-14 01:37:20,92935.621
2024-12-14 01:37:32,92939.886
2024-12-14 01:37:45,92954.655
2024-12-14 01:37:53,92966.107
2024-12-14 01:38:01,92977.19
2024-12-14 01:38:14,93017.435
2024-12-16 20:57:30,95355.194
2024-12-16 20:57:41,95360.295
2024-12-16 20:57:49,95370.123
2024-12-16 20:58:02,95371.465
2024-12-16 20:58:14,95379.614
2024-12-16 20:58:27,95373.725
2024-12-16 20:58:38,95378.612
2024-12-16 20:58:47,95401.944
2024-12-16 20:59:00,95407.707
2024-12-16 20:59:12,95397.411
2024-12-16 20:59:22,95405.072
2024-12-16 20:59:33,95411.802
2024-12-16 20:59:41,95417.842
2024-12-16 20:59:54,95421.576
2024-12-16 21:00:06,95447.166
2024-12-16 21:00:18,95448.758
2024-12-16 21:00:30,95447.718
2024-12-16 21:00:42,95450.47
2024-12-16 21:00:50,95449.677
2024-12-16 21:01:01,95297.847
2024-12-16 21:01:14,95273.741
2024-12-16 21:01:26,95278.308
2024-12-16 21:01:37,95294.624
2024-12-16 21:01:50,95294.496
2024-12-16 21:01:58,95291.463
2024-12-16 21:02:10,95290.528
2024-12-16 21:02:24,95309.618
2024-12-16 21:02:33,95351.856
2024-12-16 21:02:46,95413.932
2024-12-16 21:02:59,95408.07
2024-12-16 21:03:11,95384.348
2024-12-16 21:03:19,95387.064
2024-12-16 21:03:32,95372.576
2024-12-16 21:03:44,95377.025
2024-12-16 21:03:52,95384.44
2024-12-16 21:04:05,95392.435
2024-12-16 21:04:17,95398.957
2024-12-16 21:04:25,95423.591
2024-12-16 21:04:37,95428.597
2024-12-16 21:04:53,95440.203
2024-12-16 21:04:59,95437.348
2024-12-16 21:05:11,95444.865
2024-12-16 21:05:21,95447.937
2024-12-16 21:05:36,95442.969
2024-12-16 21:05:45,95459.031
2024-12-16 21:06:01,95451.288
2024-12-16 21:06:09,95445.246
2024-12-16 21:06:21,95448.221
2024-12-16 21:06:29,95461.204
2024-12-16 21:06:41,95430.053
2024-12-16 21:06:55,95428.676
2024-12-16 21:07:05,95431.11
2024-12-16 21:07:15,95438.659
2024-12-16 21:07:29,95511.034
2024-12-16 21:07:40,95536.31
2024-12-16 21:07:53,95541.301
2024-12-16 21:08:01,95541.948
2024-12-16 21:08:13,95547.663
2024-12-16 21:08:26,95555.331
2024-12-16 21:08:34,95564.857
2024-12-16 21:08:47,95568.627
2024-12-16 21:08:59,95579.384
2024-12-16 21:09:12,95583.662
2024-12-16 21:09:24,95586.812
2024-12-16 21:09:33,95592.384
2024-12-16 21:09:49,95569.359
2024-12-16 21:09:56,95571.732
2024-12-16 21:10:08,95581.951
2024-12-16 21:10:20,95583.658
2024-12-16 21:10:32,95594.999
2024-12-16 21:10:44,95589.092
2024-12-16 21:10:52,95595.502
2024-12-16 21:11:04,95612.237
2024-12-16 21:11:16,95633.137
2024-12-16 21:11:28,95604.273
2024-12-16 21:11:40,95622.05
2024-12-16 21:11:52,95632.528
2024-12-16 21:12:00,95649.314
2024-12-16 21:12:12,95661.36
2024-12-16 21:12:23,95660.745
2024-12-16 21:12:36,95657.724
2024-12-16 21:12:48,95660.361
2024-12-16 21:13:00,95669.728
2024-12-16 21:13:08,95670.415
2024-12-16 21:13:22,95684.907
2024-12-16 21:13:32,95685.811
2024-12-16 21:13:42,95689.833
2024-12-16 21:13:56,95694.375
2024-12-16 21:14:08,95704.654
2024-12-16 21:14:16,95703.858
2024-12-16 21:14:28,95712.535
2024-12-16 21:14:40,95713.001
2024-12-16 21:14:49,95707.151
2024-12-16 21:15:03,95708.002
2024-12-16 21:15:17,95705.632
2024-12-16 21:15:23,95701.284
2024-12-16 21:15:37,95710.077
2024-12-16 21:15:47,95711.228
2024-12-16 21:15:59,95721.324
2024-12-16 21:16:11,95727.124
2024-12-16 21:16:23,95732.333
2024-12-16 21:16:32,95729.131
2024-12-16 21:16:44,95734.141
2024-12-16 21:16:58,95734.607
2024-12-16 21:17:06,95733.323
2024-12-16 21:17:18,95735.6
2024-12-16 21:17:26,95742.605
2024-12-16 21:17:39,95741.757
2024-12-16 21:17:54,95745.854
2024-12-16 21:18:03,95747.06
2024-12-16 21:18:14,95757.479
2024-12-16 21:18:28,95758.978
2024-12-16 21:18:37,95791.332
2024-12-16 21:18:49,95828.222
2024-12-16 21:19:02,95821.516
2024-12-16 21:19:10,95821.367
2024-12-16 21:19:22,95824.637
2024-12-16 21:19:34,95847.707
2024-12-16 21:19:46,95850.953
2024-12-16 21:19:58,95884.213
2024-12-16 21:20:07,95911.764
2024-12-16 21:20:20,95946.101
2024-12-16 21:20:32,95947.132
2024-12-16 21:20:38,95947.38
2024-12-16 21:20:53,95878.215
2024-12-16 21:21:05,95871.268
2024-12-16 21:21:18,95873.932
2024-12-17 14:16:23,94711.751
2024-12-23 14:48:08,88038.865
2024-12-23 14:48:23,88041.141
2024-12-23 14:48:32,88041.851
2024-12-23 14:48:43,88044.346
2024-12-23 14:48:56,88048.343
2024-12-23 14:49:07,88052.448
2024-12-23 14:49:18,88056.975
2024-12-23 14:49:26,88056.354
2024-12-23 14:49:39,88060.746
2024-12-23 14:49:54,88060.039
2024-12-23 20:09:05,88303.87
